編號,位置,元素類型,現有文案,修改建議,備註
H-01,全站 / <head>,瀏覽器分頁標題 (<title>),禁羈友善諮商資源 ・ Therapis,,
H-02,全站 / <head>,meta description / og:description,"整理臺灣 BDSM 友善的助人工作者名單，讓需要心理支持的人找到安全、被理解的專業陪伴。",,
H-03,全站 / <head>,og:site_name,Therapis ・ 禁羈友善諮商資源,,
H-04,全站 / <head>,og:title,禁羈友善諮商資源,,
H-05,全站 / <head>,og:image:alt,禁羈友善助人工作者資源網 ・ therapis.smer.today,,
H-06,全站 / <head>,Twitter title,禁羈友善諮商資源,,
H-07,全站 / <head>,Twitter description,整理臺灣 BDSM 友善的助人者名單。,,
N-01,導覽列,logo,therapis,,
N-02,導覽列,logo 副標,Kink-Aware Professionals in Taiwan,,
N-03,導覽列,nav 連結,助人者名單,,
N-04,導覽列,nav 連結,關於資源網,,
N-05,導覽列,nav 連結,加入名單,,
F-01,Footer,標籤,發起 ・ 資料維護,,
F-02,Footer,名單,長裙富翁、小藤,,
F-03,Footer,標籤,網頁工程 ・ 維護,,
F-04,Footer,名單,TinaTea 緹、柚子泥,,
F-05,Footer,資料來源,資料來源 ・ 臺灣 BDSMer 友善之助人工作者資源網,,文字連到原始 Google Sheet
F-06,Footer,簽名,made with love ✦ 2026,,
F-07,Footer,版權,"© 2026 禁羈友善助人工作者資源網 ・ 內容與程式碼僅供非商業用途，使用前請來信 bdsmertherapist@gmail.com 取得同意。",,
HM-01,首頁 Hero,eyebrow,"for those seeking a safe, knowing ear.",,
HM-02,首頁 Hero,主標題,禁羈友善,,
HM-03,首頁 Hero,副標題,助人工作者資源網,,
HM-04,首頁 Hero,內文,"這是一份小小的、安靜的目錄。
整理願意公開標註為「禁羈友善」的專業助人者，希望讓需要心理支持的 BDSMer，更容易找到理解、被接納的陪伴。",,
FB-01,篩選列,搜尋框 placeholder,搜尋姓名、機構、議題...,,
FB-02,篩選列,下拉預設,所有地區,,
FB-03,篩選列,checkbox,僅顯示可遠距,,
NR-01,無結果狀態,eyebrow,no match,,
NR-02,無結果狀態,主標題,沒有找到符合條件的資源,,
NR-03,無結果狀態,內文,請嘗試調整篩選條件或搜尋關鍵字。,,
RC-01,資源卡片,標籤,執業地區,,
RC-02,資源卡片,標籤,執業機構,,
RC-03,資源卡片,標籤,預約方式,,
RC-04,資源卡片,標籤,speciality,,卡片底部「擅長議題」的英文標籤
RC-05,資源卡片,徽章,可遠距,,
RX-01,首頁底部,資料更新時間,updated · {日期},,動態，固定英文 "updated" + 日期
AB-01,About 頁,eyebrow,a note to readers.,,
AB-02,About 頁,主標題,關於這份名單,,
AB-03,About 頁 / 章節 01,標題,關於資源網,,
